"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Login test with email: ""invaliduser@example.com"" and password: ""wrongpassword""","chromium","2026-09-19","skipped","2026-09-19","Login data driven test","Day23\061_paramtest4-csv.spec.ts","",""
"","1","Text Assertion: toHaveText","chromium","2026-09-19","skipped","2026-09-19","","Day20\052_lab_assertions.spec.ts","",""
"","0","Browser context options/settings demo","chromium","2026-09-19","skipped","2026-09-19","","Day14\030_demo_browser_context_options.spec.ts","",""
"","1","press letter A","chromium","2026-09-19","skipped","2026-09-19","Keyboard Action Practice ","Day16\037_lab_keyboard_actions.spec.ts","",""
"","0","Visibility Assertion: toBeVisible","chromium","2026-09-19","skipped","2026-09-19","","Day20\052_lab_assertions.spec.ts","",""
"","4","Frame 4 - Fill and verify input field","chromium","2026-09-19","skipped","2026-09-19","Frames Examples","Day19\051_Frames_lab.spec.ts","",""
"","0","6.Find ""Say goodbye"" button for John","chromium","2026-09-19","skipped","2026-09-19","","Day3\005_demo_locators_filters.spec.ts","",""
"","15","Client App Login","chromium","2026-09-19","skipped","2026-09-19","","ClientApp.spec.ts","",""
"","0","Element Screenshot","chromium","2026-09-19","skipped","2026-09-19","","Day25\068_screenshots.spec.ts","",""
"","12","@P2 @Regression demowebshop search test","chromium","2026-09-19","skipped","2026-09-19","","Day26\073_reporting_tests.spec.ts","",""
"","1","Page Assertion: not.toHaveTitle","chromium","2026-09-19","skipped","2026-09-19","","Day20\052_lab_assertions.spec.ts","",""
"","0","Text Assertion: toContainText","chromium","2026-09-19","skipped","2026-09-19","","Day20\052_lab_assertions.spec.ts","",""
"","1","shadow dom","chromium","2026-09-19","skipped","2026-09-19","","Day18\048_lab_shadow_dom.spec.ts","",""
"","0","Login test with email: """" and password: """"","chromium","2026-09-19","skipped","2026-09-19","Login data driven test","Day23\060_paramtest3-json.spec.ts","",""
"","0","Attach Screenshot to Report","chromium","2026-09-19","skipped","2026-09-19","","Day25\068_screenshots.spec.ts","",""
"","0","6.Starts With usig ^","chromium","2026-09-19","skipped","2026-09-19","CSS Locators","Day4\006_demo_csslocators.spec.ts","",""
"","0","Login test with email: ""laura.taylor1234@example.com"" and password: ""test123""","chromium","2026-09-19","skipped","2026-09-19","Login data driven test","Day23\062_paramtest5-xls.spec.ts","",""
"","0","inner frames","chromium","2026-09-19","skipped","2026-09-19","","Day19\049_demo_frames.spec.ts","",""
"","0","Role Assertion: toHaveRole","chromium","2026-09-19","skipped","2026-09-19","","Day20\052_lab_assertions.spec.ts","",""
"","1","Count Assertion: toHaveCount","chromium","2026-09-19","skipped","2026-09-19","","Day20\052_lab_assertions.spec.ts","",""
"","0","Login test with email: """" and password: """"","chromium","2026-09-19","skipped","2026-09-19","Login data driven test","Day23\062_paramtest5-xls.spec.ts","",""
"","1","8.Child selector using >","chromium","2026-09-19","skipped","2026-09-19","CSS Locators","Day4\006_demo_csslocators.spec.ts","",""
"","1","shape tests","chromium","2026-09-19","skipped","2026-09-19","SVG handling","Day18\047_demo_svg.spec.ts","",""
"","0","Login test with email: ""validuser@example.com"" and password: ""test222""","chromium","2026-09-19","skipped","2026-09-19","Login data driven test","Day23\062_paramtest5-xls.spec.ts","",""
"","0","Count Total Books in the page","chromium","2026-09-19","skipped","2026-09-19","","Day17\045_lab_infiniteScrolling-bookcount.spec.ts","",""
"","0","new tab handling","chromium","2026-09-19","skipped","2026-09-19","","Day15\032_demo_new_tab_handling.spec.ts","",""
"","0","Transparent Background","chromium","2026-09-19","skipped","2026-09-19","","Day25\068_screenshots.spec.ts","",""
"","0","Login test with email: ""invaliduser@example.com"" and password: ""test321""","chromium","2026-09-19","skipped","2026-09-19","Login data driven test","Day23\062_paramtest5-xls.spec.ts","",""
"","1","press number 5","chromium","2026-09-19","skipped","2026-09-19","Keyboard Action Practice ","Day16\037_lab_keyboard_actions.spec.ts","",""
"","0","Attributes Assertion: toHaveAttribute","chromium","2026-09-19","skipped","2026-09-19","","Day20\052_lab_assertions.spec.ts","",""
"","1","search test for laptop","chromium","2026-09-19","skipped","2026-09-19","","Day23\paramtest1.spec.ts","",""
"","1","Ctrl + A","chromium","2026-09-19","skipped","2026-09-19","Keyboard Action Practice ","Day16\037_lab_keyboard_actions.spec.ts","",""
"","1","press F1","chromium","2026-09-19","skipped","2026-09-19","Keyboard Action Practice ","Day16\037_lab_keyboard_actions.spec.ts","",""
"","1","3.Mouse Hover interaction & tooltip","chromium","2026-09-19","skipped","2026-09-19","","Day16\035_demo_mouse_actions.spec.ts","",""
"","0","Frame 1 - Fill and verify input field","chromium","2026-09-19","skipped","2026-09-19","Frames Examples","Day19\051_Frames_lab.spec.ts","",""
"","0","Invalid login check","chromium","2026-09-19","skipped","2026-09-19","E-Commerce > Login to app","Day24\063_grouping_describe.spec.ts","",""
"","0","single file upload","chromium","2026-09-19","skipped","2026-09-19","","Day15\033_demo_file_upload.spec.ts","",""
"","1","Login using test.step()","chromium","2026-09-19","skipped","2026-09-19","","Day24\065_annotation_test_step.spec.ts","",""
"","0","3.Find items with ""In stock""","chromium","2026-09-19","skipped","2026-09-19","","Day3\005_demo_locators_filters.spec.ts","",""
"","0","press Space","chromium","2026-09-19","skipped","2026-09-19","Keyboard Action Practice ","Day16\037_lab_keyboard_actions.spec.ts","",""
"","1","search test for smartphone","chromium","2026-09-19","skipped","2026-09-19","searching items","Day23\paramtest1.spec.ts","",""
"","0","Check navigation to Store page","chromium","2026-09-19","skipped","2026-09-19","","Day24\067_tagging.spec.ts","",""
"","1","6. Drag and drop the draggable element into the drop zone","chromium","2026-09-19","skipped","2026-09-19","","Day16\035_demo_mouse_actions.spec.ts","",""
"","5015","@P1 @Sanity Login test with in-valid credentials","chromium","2026-09-19","passed","2026-09-19","demowebshop User Login Tests","Day26\073_reporting_tests.spec.ts","",""
"","0","4. Checkboxes validation","chromium","2026-09-19","skipped","2026-09-19","Data Entry Form Validation","Day9\015_Checkbox_data_entry.spec.ts","",""
"","1","Login using Saved Cookies","chromium","2026-09-19","skipped","2026-09-19","","Day21\057_lab_cookies_login_with_function.spec.ts","",""
"","0","Login test for validuser@example.com and testxyz","chromium","2026-09-19","skipped","2026-09-19","Login data driven test","Day23\paramtest2.spec.ts","",""
"","1","Attributes Assertion: toHaveId","chromium","2026-09-19","skipped","2026-09-19","","Day20\052_lab_assertions.spec.ts","",""
"","0","Only Example - Using test.only()","chromium","2026-09-19","skipped","2026-09-19","","Day24\064_annotations.spec.ts","",""
"","0","2.Right click/context click","chromium","2026-09-19","skipped","2026-09-19","","Day16\035_demo_mouse_actions.spec.ts","",""
"","1","Soft Assertions Example","chromium","2026-09-19","skipped","2026-09-19","","Day20\053_soft_vs_hard_Assertion.spec.ts","",""
"","0","Role Assertion: toHaveRole with link","chromium","2026-09-19","skipped","2026-09-19","","Day20\052_lab_assertions.spec.ts","",""
"","2","Verify Title","chromium","2026-09-19","skipped","2026-09-19","","Day1\001_mytest.spec.ts","",""
"","1","Test4","chromium","2026-09-19","skipped","2026-09-19","Group2","Day24\063_grouping_describe.spec.ts","",""
"","0","Login test with email: ""invaliduser@example.com"" and password: ""wrongpassword""","chromium","2026-09-19","skipped","2026-09-19","Login data driven test","Day23\060_paramtest3-json.spec.ts","",""
"","0","5.Count all elements with test ids","chromium","2026-09-19","skipped","2026-09-19","","Day3\005_demo_locators_filters.spec.ts","",""
"","5","Common Popup overlay","chromium","2026-09-19","skipped","2026-09-19","","Day13\024_demo_popup.spec.ts","",""
"","0","Page Assertion: not.toHaveURL","chromium","2026-09-19","skipped","2026-09-19","","Day20\052_lab_assertions.spec.ts","",""
"","0","Login as admin and check dashboard","chromium","2026-09-19","skipped","2026-09-19","","Day22\059_session_storage.login.spec.ts","",""
"","0","Attach Saved Screenshot","chromium","2026-09-19","skipped","2026-09-19","","Day25\068_screenshots.spec.ts","",""
"","1","Numpad keys are recognised","chromium","2026-09-19","skipped","2026-09-19","Keyboard Action Practice ","Day16\037_lab_keyboard_actions.spec.ts","",""
"","0","Screenshot after Scroll","chromium","2026-09-19","skipped","2026-09-19","","Day25\068_screenshots.spec.ts","",""
"","0","Scroll by Pixel Values","chromium","2026-09-19","skipped","2026-09-19","","Day17\041_demo_scrolling.spec.ts","",""
"","0","Automatic Scrolling","chromium","2026-09-19","skipped","2026-09-19","","Day17\041_demo_scrolling.spec.ts","",""
"","1","Visibility Assertion: toBeAttached","chromium","2026-09-19","skipped","2026-09-19","","Day20\052_lab_assertions.spec.ts","",""
"","1","search test for monitor","chromium","2026-09-19","skipped","2026-09-19","","Day23\paramtest1.spec.ts","",""
"","0","Disable Animations","chromium","2026-09-19","skipped","2026-09-19","","Day25\068_screenshots.spec.ts","",""
"","1","7.Ends With usig $","chromium","2026-09-19","skipped","2026-09-19","CSS Locators","Day4\006_demo_csslocators.spec.ts","",""
"","0","Login as admin and check dashboard","chromium","2026-09-19","skipped","2026-09-19","","Day22\058_local_storage_login.spec.ts","",""
"","2","Browser context demo","chromium","2026-09-19","skipped","2026-09-19","","Day14\026_demo_browser_context.spec.ts","",""
"","0","1.Toggle button changes state when clicked","chromium","2026-09-19","skipped","2026-09-19","","Day16\035_demo_mouse_actions.spec.ts","",""
"","1","3. Radio button validation","chromium","2026-09-19","skipped","2026-09-19","Data Entry Form Validation","Day8\014_data_entry_form_Radio.spec.ts","",""
"","1","Test1","chromium","2026-09-19","skipped","2026-09-19","Another Group","Day24\063_grouping_describe.spec.ts","",""
"","0","Comparing methods","chromium","2026-09-19","skipped","2026-09-19","","Day7\012_demo_innerText_vs_textContent.spec.ts","",""
"","18546","flaky test","chromium","2026-09-19","failed","2026-09-19","","Day25\072_flaky_test.spec.ts","",""
"","1","Remove item from cart","chromium","2026-09-19","skipped","2026-09-19","E-Commerce > Cart","Day24\063_grouping_describe.spec.ts","",""
"","1","Clip Screenshot","chromium","2026-09-19","skipped","2026-09-19","","Day25\068_screenshots.spec.ts","",""
"","0","Invalid email format should show an error","chromium","2026-09-19","skipped","2026-09-19","Data Entry Form Validation","Day9\015_Checkbox_data_entry.spec.ts","",""
"","0","press Delete","chromium","2026-09-19","skipped","2026-09-19","Keyboard Action Practice ","Day16\037_lab_keyboard_actions.spec.ts","",""
"","1","press ArrowDown","chromium","2026-09-19","skipped","2026-09-19","Keyboard Action Practice ","Day16\037_lab_keyboard_actions.spec.ts","",""
"","1","Cookies demo","chromium","2026-09-19","skipped","2026-09-19","","Day21\055_demo_cookies.spec.ts","",""
"","1","Lazy loading page","chromium","2026-09-19","skipped","2026-09-19","","Day17\042_demo_lazy_loading.spec.ts","",""
"","0","Frame 5 - Fill input and verify logo","chromium","2026-09-19","skipped","2026-09-19","Frames Examples","Day19\051_Frames_lab.spec.ts","",""
"","1","Login and save cookies","chromium","2026-09-19","skipped","2026-09-19","","Day21\056_demo_cookies_real_usecase.spec.ts","",""
"","0","State Assertion: toBeFocused","chromium","2026-09-19","skipped","2026-09-19","","Day20\052_lab_assertions.spec.ts","",""
"","0","State Assertion: toBeEnabled","chromium","2026-09-19","skipped","2026-09-19","","Day20\052_lab_assertions.spec.ts","",""
"","0","page options demo","chromium","2026-09-19","skipped","2026-09-19","","Day14\030_demo_browser_context_options.spec.ts","",""
"","2","BlazeDemo Flight Booking Flow - Select Lowest Price Flight","chromium","2026-09-19","skipped","2026-09-19","","Day11\020_Assign_blazeDemo.spec.ts","",""
"","0","Ctrl + Shift + A","chromium","2026-09-19","skipped","2026-09-19","Keyboard Action Practice ","Day16\037_lab_keyboard_actions.spec.ts","",""
